Time,Country Name,Country Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],CO2 emissions (kg per 2015 US$ of GDP) [EN.ATM.CO2E.KD.GD],CO2 emissions (kg per 2017 PPP $ of GDP) [EN.ATM.CO2E.PP.GD.KD],CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"CO2 emissions from electricity and heat production, total (% of total fuel combustion) [EN.CO2.ETOT.ZS]",CO2 emissions from gaseous fuel consumption (% of total) [EN.ATM.CO2E.GF.ZS],CO2 emissions from gaseous fuel consumption (kt) [EN.ATM.CO2E.GF.KT],CO2 emissions from liquid fuel consumption (% of total) [EN.ATM.CO2E.LF.ZS],CO2 emissions from liquid fuel consumption (kt) [EN.ATM.CO2E.LF.KT],CO2 emissions from manufacturing industries and construction (% of total fuel combustion) [EN.CO2.MANF.ZS],CO2 emissions from solid fuel consumption (% of total) [EN.ATM.CO2E.SF.ZS],CO2 emissions from solid fuel consumption (kt) [EN.ATM.CO2E.SF.KT],CO2 emissions from transport (% of total fuel combustion) [EN.CO2.TRAN.ZS],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP (constant LCU) [NY.GDP.MKTP.KN],GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP (current LCU) [NY.GDP.MKTP.CN],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, GDP deflator: linked series (annual %) [NY.GDP.DEFL.KD.ZG.AD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%) [SH.UHC.NOP1.ZS],Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%) [SH.UHC.NOP2.ZS],Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%) [SH.UHC.NOPR.ZS],Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.10.ZS],Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49) [SG.VAW.1549.ZS],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Lending interest rate (%) [FR.INR.LEND],"Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","Wage and salaried workers, total (% of total employment) (modeled ILO estimate) [SL.EMP.WORK.ZS]","Vulnerable employment, total (% of total employment) (modeled ILO estimate) [SL.EMP.VULN.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, number of departures [ST.INT.DPRT]","International tourism, number of arrivals [ST.INT.ARVL]","Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Stocks traded, total value (current US$) [CM.MKT.TRAD.CD]","Stocks traded, turnover ratio of domestic shares (%) [CM.MKT.TRNR]"
2014,Afghanistan,AFG,,,0.492110,0.132290,0.134400,9281.340000,0.283690,,3.474490,271.358000,48.314250,3773.343000,,56.061430,4378.398000,,31165.815800,,9.528880,60.189580,1270940547928.420000,18860496592.515000,1176469485800.000000,20497128600.336300,2.724540,7.915000,10.086000,9.963000,7.910000,4.674000,0.566950,0.566950,133.768370,,,,,,73.055920,,55.000000,15.000000,,,3.900000,12.037380,85.615460,140000000.000000,1.697660,,,,,
2014,Albania,ALB,0.718000,0.926750,0.465720,0.154980,0.159490,5188.000000,1.795710,2.912620,1.123990,58.672000,73.972240,3861.351000,22.087380,13.417570,700.397000,59.951460,9738.800300,,6.441640,295.450750,1325238823000.000000,11139693788.812400,1395305000000.000000,13228147516.116800,1.774450,18.055000,39.744000,39.869000,18.050000,1.625870,1.549920,1.549920,109.324190,,,,,,59.115170,,8.800000,7.972500,,,5.000000,42.073820,55.976300,1689000000.000000,27.070710,4146000.000000,3673000.000000,,,
2014,Algeria,DZA,-1.811480,-3.735580,0.923020,0.329680,0.291890,147735.200000,3.811520,38.826980,53.233710,73893.717000,38.109750,52900.142000,8.338080,0.393620,546.383000,35.280240,252331.668600,,6.547210,361.159420,17296678480000.000000,160057111729.904000,17228598000000.000000,213809979836.314000,3.800000,10.207000,25.400000,25.027000,10.210000,2.916930,-0.300580,-0.300580,120.949860,,,,,,26.658460,,22.000000,8.000000,,,2.800000,69.055710,26.819690,679000000.000000,0.952790,2839000.000000,2301000.000000,,,
2014,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,635000000.000000,652450381.679390,643000000.000000,643000000.000000,1.762820,,,,,,-0.962160,-0.962160,,,,,,,,,,,,,,,,,,,21600.000380,,,
2014,Andorra,AND,,,0.167850,,,461.664000,6.445930,,0.000000,0.000000,100.443910,462.042000,,0.000000,0.000000,,574.862930,,6.825870,3113.924560,2444670000.000000,2750437434.802540,2462690000.000000,3271686452.476860,2.504470,,,,,,-0.084020,-0.084020,,,,,,,12.671030,,3.500000,,,,,,,,,,7797000.000000,,,
2014,Angola,AGO,7.831510,3.930840,0.330290,0.133380,0.134370,29610.500000,1.091500,19.170980,1.673080,579.386000,81.620660,28265.236000,7.772020,0.000000,0.000000,43.989640,83628.136210,,2.434130,130.742340,1608781000000.000000,89650503966.169600,14323859000000.000000,135966802156.542000,4.822560,9.579000,35.327000,17.332000,16.317000,7.280390,3.560890,3.560890,146.042060,,,,,,26.876170,,60.500000,16.382270,77.431130,66.030110,6.400000,36.666100,58.544880,505000000.000000,0.943260,,595000.000000,,,
2014,Antigua and Barbuda,ATG,,,0.336280,0.261150,0.245120,476.600000,5.340890,,0.000000,0.000000,110.010000,528.048000,,0.000000,0.000000,,1061.010560,,5.872700,822.392210,3876400000.000000,1417273748.876150,3722840000.000000,1378829629.629630,2.211450,,,,,1.089440,1.778390,1.778390,109.261000,,,,,,25.343680,,6.800000,10.071840,,,0.400000,,,89000000.000000,9.629710,,771000.000000,,,
2014,Argentina,ARG,-3.593930,-4.648070,0.310230,0.178730,0.213840,179600.700000,4.209110,38.038560,53.744350,96691.456000,48.683390,87586.295000,16.870230,2.321560,4176.713000,24.167140,365636.267700,,9.671300,1280.614870,702306046000.000000,578937574935.696000,4579086425400.000000,526319673731.638000,-2.512620,7.268000,19.132000,18.843000,7.270000,,40.282970,40.282970,,,,,,,27.042110,,10.900000,24.009170,,,9.300000,76.346520,20.177980,7837000000.000000,9.682880,10022000.000000,7165000.000000,0.669270,3522520000.000000,5.857000
2014,Armenia,ARM,1.232370,1.633630,0.535790,0.170720,0.187440,5479.000000,1.895890,29.693490,81.369930,4459.072000,15.658360,858.078000,11.111110,0.000000,0.000000,27.777780,9132.807490,,10.178280,408.884860,4565914829600.000000,10226102246.627600,4828626300000.000000,11609513246.795800,3.600000,17.499000,20.766000,36.995000,11.989000,2.981310,2.309180,2.309180,120.277770,0.340000,2.690000,3.140000,19.470000,6.030000,82.481370,,13.500000,16.408670,,,6.300000,35.448220,63.928020,1101000000.000000,20.064680,1198000.000000,1204000.000000,,,
2014,Aruba,ABW,,,,,,,,,,0.000000,,872.746000,,,0.000000,,,,,,4805380924.148200,2981500664.960500,4995621000.000000,2790849720.670390,-1.586580,,,,,0.421440,3.958900,3.958900,102.912770,,,,,,,,,7.300000,,,,,,350000000.000000,15.495680,,1739000.000000,,,
